,City,State,Median_Age,Male_Population,Female_Population,Total_Population,Number_of_Veterans,Foreign-born,Average_household_size,State_code,Race,Count
2739,Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,American Indian and Alaska Native,5474
2740,Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,Asian,22550
2741,Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,Hispanic or Latino,11732
2742,Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,White,81720
2743,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,Hispanic or Latino,1602
2744,Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,Black or African-American,39445
2745,Fishers,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,Black or African-American,6873
2747,Broomfield,Colorado,36.8,31755.0,33310.0,65065,3966.0,5316.0,2.53,CO,White,58341
2748,Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,Hispanic or Latino,33250
2749,Brentwood,New York,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98,NY,Asian,1647
2750,Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,American Indian and Alaska Native,10027
2751,Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,3981.0,4701.0,2.53,SC,Asian,1827
2752,Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,Hispanic or Latino,3395
2753,Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,American Indian and Alaska Native,2010
2754,Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,Hispanic or Latino,76020
2755,Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,Black or African-American,5195
2756,San Francisco,California,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37,CA,Black or African-American,53270
2757,Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,Hispanic or Latino,296133
2758,Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA,Hispanic or Latino,10836
2759,Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA,Black or African-American,4032
2760,Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA,White,59702
2761,Peoria,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97,AZ,White,151232
2762,Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,Hispanic or Latino,32944
2763,Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,Hispanic or Latino,10890
2764,New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,Black or African-American,17723
2765,Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,Hispanic or Latino,37382
2766,Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,American Indian and Alaska Native,1593
2767,Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,Black or African-American,2865
2768,Olathe,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97,KS,American Indian and Alaska Native,1872
2769,San Diego,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA,American Indian and Alaska Native,16496
2770,Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,Hispanic or Latino,17211
2771,Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36,MI,Asian,2429
2772,Hemet,California,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.97,CA,Black or African-American,7650
2773,Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,American Indian and Alaska Native,158
2774,Arlington,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,White,171673
2775,San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,Asian,11519
2776,Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,White,49982
2777,Franklin,Tennessee,38.3,34991.0,37644.0,72635,3303.0,6876.0,2.73,TN,Hispanic or Latino,4916
2778,College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,Asian,10915
2779,Lewisville,Texas,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78,TX,Hispanic or Latino,31757
2780,Bellevue,Washington,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43,WA,Asian,52223
2781,Warren,Michigan,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45,MI,Black or African-American,29391
2782,Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.82,FL,White,84328
2783,Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,Hispanic or Latino,49524
2784,Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,Asian,6484
2785,Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,White,62170
2786,Arlington,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,Asian,28595
2787,Yakima,Washington,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74,WA,American Indian and Alaska Native,2042
2788,Sugar Land,Texas,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95,TX,Hispanic or Latino,7835
2789,Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,Asian,42070
2790,Palmdale,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA,Asian,10981
2791,Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,Asian,3194
2792,Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,Asian,16189
2793,Portland,Oregon,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43,OR,Hispanic or Latino,61064
2794,Portland,Maine,40.3,31480.0,35392.0,66872,3666.0,9229.0,2.13,ME,Hispanic or Latino,2031
2795,Portland,Maine,40.3,31480.0,35392.0,66872,3666.0,9229.0,2.13,ME,American Indian and Alaska Native,662
2796,Franklin,Tennessee,38.3,34991.0,37644.0,72635,3303.0,6876.0,2.73,TN,Black or African-American,7749
2797,Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,Hispanic or Latino,2474
2798,Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3,WI,Hispanic or Latino,1972
2799,Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,Asian,37651
2800,Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,Asian,15666
2801,Carmel,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,Hispanic or Latino,3111
