,City,State,Median_Age,Male_Population,Female_Population,Total_Population,Number_of_Veterans,Foreign-born,Average_household_size,State_code,Race,Count
484,Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58,MO,Black or African-American,6964
485,Warren,Michigan,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45,MI,Asian,12156
486,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,White,149859
487,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,American Indian and Alaska Native,5549
488,Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,Asian,7189
489,Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,American Indian and Alaska Native,3462
490,Erie,Pennsylvania,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31,PA,Hispanic or Latino,7859
491,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,Asian,16318
492,Mountain View,California,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46,CA,White,51400
493,Torrance,California,41.2,73209.0,75259.0,148468,8459.0,43096.0,2.7,CA,White,80498
494,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,Black or African-American,38731
495,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,Hispanic or Latino,23409
496,West Valley City,Utah,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81,UT,American Indian and Alaska Native,4851
497,Surprise,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,Black or African-American,9079
498,Hartford,Connecticut,31.0,58042.0,65972.0,124014,3130.0,28467.0,2.59,CT,American Indian and Alaska Native,2451
499,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,Asian,5561
500,Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,Hispanic or Latino,1704
501,El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,American Indian and Alaska Native,718
502,Warren,Michigan,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45,MI,Hispanic or Latino,3210
503,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,Hispanic or Latino,25764
504,Fremont,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,Hispanic or Latino,29594
505,Elgin,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.97,IL,Hispanic or Latino,48221
506,Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,Black or African-American,29998
507,Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,Black or African-American,37355
508,Redding,California,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42,CA,Black or African-American,2112
509,Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,Asian,2788
510,Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,Hispanic or Latino,17093
511,Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,41843.0,80165.0,2.58,OK,White,462306
512,McAllen,Texas,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19,TX,Asian,5575
513,Carlsbad,California,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68,CA,White,98705
514,Pasadena,California,37.6,67712.0,74534.0,142246,4618.0,40779.0,2.63,CA,Hispanic or Latino,52717
515,Naperville,Illinois,38.5,71365.0,75794.0,147159,4545.0,30399.0,2.76,IL,American Indian and Alaska Native,449
516,Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,Black or African-American,46072
517,Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,Asian,1877
518,Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,American Indian and Alaska Native,400
519,Goodyear,Arizona,38.6,36711.0,42292.0,79003,7650.0,11774.0,2.97,AZ,Asian,5701
520,Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,American Indian and Alaska Native,251
521,Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI,Hispanic or Latino,15325
522,Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,Asian,5173
523,Reading,Pennsylvania,29.4,43668.0,44205.0,87873,2580.0,17043.0,2.95,PA,Hispanic or Latino,57032
524,San Diego,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA,Asian,267222
525,Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,White,115903
526,Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,Asian,8092
527,Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,American Indian and Alaska Native,9238
528,Madison,Wisconsin,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23,WI,White,204302
529,Madison,Wisconsin,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23,WI,American Indian and Alaska Native,2296
530,Portland,Maine,40.3,31480.0,35392.0,66872,3666.0,9229.0,2.13,ME,White,59722
531,College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,American Indian and Alaska Native,605
532,Lewisville,Texas,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78,TX,American Indian and Alaska Native,1371
533,Raleigh,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC,Black or African-American,138242
534,Jurupa Valley,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA,American Indian and Alaska Native,1554
535,Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,Asian,512999
536,Boynton Beach,Florida,45.8,33701.0,40271.0,73972,4727.0,15431.0,2.45,FL,White,49704
537,Mount Vernon,New York,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85,NY,American Indian and Alaska Native,356
538,Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX,American Indian and Alaska Native,17510
539,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,American Indian and Alaska Native,3941
540,East Orange,New Jersey,35.5,29995.0,34967.0,64962,1870.0,15164.0,2.85,NJ,Black or African-American,57859
541,Bismarck,North Dakota,38.0,34675.0,35565.0,70240,4145.0,2064.0,2.11,ND,American Indian and Alaska Native,4040
542,Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,Hispanic or Latino,327680
543,Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,Asian,3009
544,Indianapolis,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,American Indian and Alaska Native,8656
545,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,Black or African-American,7140
546,Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,Black or African-American,34240
547,Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,Hispanic or Latino,15392
548,Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,American Indian and Alaska Native,1134
549,Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,Asian,9801
550,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,Asian,22551
551,Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,White,65228
552,Montgomery,Alabama,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41,AL,American Indian and Alaska Native,1277
553,Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,Black or African-American,13636
554,Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,Asian,10336
555,Washington,District of Columbia,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24,DC,American Indian and Alaska Native,6130
556,Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,Hispanic or Latino,45884
557,Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,White,75686
558,Miami Beach,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,Black or African-American,4013
559,North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,White,137357
560,Akron,Ohio,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24,OH,Black or African-American,66551
561,San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,Hispanic or Latino,331232
562,San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,Asian,385198
563,Longmont,Colorado,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63,CO,Asian,2255
564,Fall River,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,White,77242
565,Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,Hispanic or Latino,27307
566,Muncie,Indiana,27.4,32446.0,37255.0,69701,2968.0,1062.0,2.35,IN,American Indian and Alaska Native,203
567,Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,Black or African-American,4675
568,Victorville,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA,Black or African-American,26747
569,Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,American Indian and Alaska Native,549
570,Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,White,97270
571,Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,Hispanic or Latino,73793
572,Milpitas,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,Asian,52617
573,Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,Asian,4602
574,Providence,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72,RI,White,97885
575,Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Hispanic or Latino,32976
576,Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,Asian,16856
577,Toledo,Ohio,36.1,135455.0,144323.0,279778,15286.0,9257.0,2.29,OH,American Indian and Alaska Native,3942
578,Asheville,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,White,77979
579,Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,White,62194
580,Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,Asian,8668
581,Beaverton,Oregon,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46,OR,Hispanic or Latino,15452
582,Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Asian,7340
583,Savannah,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.57,GA,Hispanic or Latino,9734
584,Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Black or African-American,90625
585,Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,American Indian and Alaska Native,6603
586,Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,Hispanic or Latino,8393
587,Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,American Indian and Alaska Native,2163
588,Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,White,456451
589,Yorba Linda,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,American Indian and Alaska Native,211
590,Billings,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,White,102522
591,Denton,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,White,106278
592,Silver Spring,Maryland,33.8,40601.0,41862.0,82463,1562.0,30908.0,2.6,MD,White,37756
593,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,White,111763
594,Tustin,California,33.4,39511.0,41052.0,80563,2434.0,25034.0,3.27,CA,Black or African-American,2954
595,Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,White,67918
596,Long Beach,California,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78,CA,White,277962
597,Jacksonville,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL,Hispanic or Latino,80064
598,Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,3647.0,4706.0,2.67,AL,Asian,2733
599,Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,American Indian and Alaska Native,2020
600,San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,American Indian and Alaska Native,13776
601,Paradise,Nevada,37.2,122784.0,114162.0,236946,14112.0,66712.0,2.65,NV,Asian,28380
602,High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,White,58004
603,Victorville,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA,Asian,7755
604,Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,American Indian and Alaska Native,1574
605,Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,White,305910
606,New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,Hispanic or Latino,22522
607,Pearland,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX,White,73349
608,Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51,WI,Hispanic or Latino,110335
609,Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA,White,324924
610,Roseville,California,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.72,CA,Asian,18171
611,Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,Black or African-American,5508
612,Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Asian,22428
613,Lakeland,Florida,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56,FL,American Indian and Alaska Native,288
614,Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,American Indian and Alaska Native,767
615,Sparks,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,Asian,7915
616,Champaign,Illinois,28.7,43326.0,42760.0,86086,3734.0,12261.0,2.25,IL,Black or African-American,16163
617,Asheville,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,Hispanic or Latino,4146
618,West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,Hispanic or Latino,26132
619,Bayonne,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ,Black or African-American,7581
620,Shawnee,Kansas,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64,KS,Asian,3093
621,Homestead,Florida,31.4,31401.0,35099.0,66500,2287.0,24408.0,3.48,FL,Black or African-American,16705
622,New Haven,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,Black or African-American,43356
623,Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Asian,8949
624,Iowa City,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,Black or African-American,7219
625,Iowa City,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,Asian,5533
626,Iowa City,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,American Indian and Alaska Native,610
627,Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,Black or African-American,151256
628,North Charleston,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82,SC,Asian,4181
629,Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,White,69369
630,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,Black or African-American,2027
631,Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,Asian,3249
632,Concord,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72,CA,American Indian and Alaska Native,1447
633,Carrollton,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,American Indian and Alaska Native,812
634,Chandler,Arizona,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78,AZ,Asian,33079
635,Irvine,California,34.6,125411.0,131516.0,256927,5532.0,116366.0,2.73,CA,American Indian and Alaska Native,799
636,Medford,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,Black or African-American,1201
638,Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,Hispanic or Latino,40817
639,Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,Asian,6573
640,Bossier City,Louisiana,32.7,33428.0,34669.0,68097,8108.0,2980.0,2.4,LA,White,47454
641,Bossier City,Louisiana,32.7,33428.0,34669.0,68097,8108.0,2980.0,2.4,LA,American Indian and Alaska Native,630
642,Woodbury,Minnesota,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.72,MN,Asian,7758
643,Boston,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,White,378543
644,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,Hispanic or Latino,15521
645,Atascocita,Texas,32.8,37424.0,40816.0,78240,4416.0,8657.0,3.03,TX,Black or African-American,21491
646,Pittsburg,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,Asian,13981
647,Pittsburg,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,American Indian and Alaska Native,2253
648,San Ramon,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA,American Indian and Alaska Native,609
649,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,Black or African-American,1222
650,Reno,Nevada,35.7,122292.0,119151.0,241443,17089.0,37070.0,2.46,NV,American Indian and Alaska Native,3872
651,Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,White,56626
652,El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,White,64138
653,Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,Hispanic or Latino,18640
654,Newport News,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA,Hispanic or Latino,15780
655,Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,White,65397
656,Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,Black or African-American,24750
657,Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,Asian,4130
658,Miami Gardens,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL,Hispanic or Latino,23287
659,Trenton,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,American Indian and Alaska Native,98
660,North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,American Indian and Alaska Native,713
661,Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,Asian,1732
662,Jurupa Valley,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA,Hispanic or Latino,66525
663,Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,Hispanic or Latino,18653
664,Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,Black or African-American,3559
665,Spokane,Washington,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34,WA,Black or African-American,10045
666,Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,White,1161455
667,Cedar Park,Texas,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05,TX,White,56991
668,Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Black or African-American,23578
669,Merced,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA,Hispanic or Latino,43684
670,Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,Black or African-American,3699
671,Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,Asian,14066
672,Shreveport,Louisiana,35.2,93138.0,103856.0,196994,14287.0,5658.0,2.53,LA,Asian,4033
673,Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,Asian,2787
674,Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,Black or African-American,2985
675,Kendall,Florida,40.2,36658.0,39808.0,76466,1678.0,31180.0,2.81,FL,Black or African-American,2937
676,Palatine,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL,Black or African-American,1822
677,Palatine,Illinois,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69,IL,Asian,8145
678,Columbus,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH,White,549468
679,San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,American Indian and Alaska Native,1540
680,Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,Hispanic or Latino,33197
681,Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,Asian,75318
682,San Angelo,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX,Asian,1658
683,Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,Black or African-American,34507
684,Redlands,California,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.82,CA,Asian,6255
685,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,Asian,2374
686,Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,Black or African-American,3703
687,Passaic,New Jersey,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56,NJ,Black or African-American,5230
688,Provo,Utah,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28,UT,Asian,4104
689,Syracuse,New York,30.3,69462.0,74690.0,144152,5845.0,17733.0,2.39,NY,American Indian and Alaska Native,3606
690,Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,American Indian and Alaska Native,592
691,North Richland Hills,Texas,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64,TX,White,58258
692,Jackson,Mississippi,31.7,79039.0,91772.0,170811,8146.0,1789.0,2.65,MS,Hispanic or Latino,3017
693,Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,Asian,32491
694,Boise,Idaho,34.9,110099.0,108181.0,218280,16004.0,13409.0,2.61,ID,American Indian and Alaska Native,4046
695,Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,Black or African-American,3229
696,Passaic,New Jersey,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56,NJ,Hispanic or Latino,53680
697,Passaic,New Jersey,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56,NJ,White,30352
698,Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,White,60652
699,Carmel,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,Asian,11223
700,Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,Black or African-American,3514
701,Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,White,277862
702,Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58,NM,Black or African-American,3825
703,Yakima,Washington,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74,WA,Asian,2248
704,Palmdale,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA,Black or African-American,27398
705,Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,Hispanic or Latino,29953
706,Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,Black or African-American,396270
707,Indio,California,35.9,43803.0,43723.0,87526,3647.0,22538.0,3.08,CA,White,48562
708,Florence-Graham,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,White,30591
709,Florence-Graham,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,Black or African-American,5060
710,Centreville,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,Black or African-American,6724
711,Santa Clarita,California,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02,CA,Asian,23168
712,Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,Asian,1428
713,Yorba Linda,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,Hispanic or Latino,10599
714,Buena Park,California,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55,CA,American Indian and Alaska Native,361
715,San Clemente,California,45.2,34076.0,31456.0,65532,3970.0,8109.0,2.64,CA,Black or African-American,251
716,Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,Hispanic or Latino,37151
717,Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,American Indian and Alaska Native,1551
718,Lawrence,Kansas,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53,KS,Hispanic or Latino,6435
719,Denton,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,Asian,7061
720,Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,Hispanic or Latino,84806
721,Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,Black or African-American,5498
722,Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,Asian,2776
723,Chino Hills,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,White,40030
724,Long Beach,California,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78,CA,American Indian and Alaska Native,12841
725,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,Black or African-American,35284
726,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,American Indian and Alaska Native,2993
727,San Bernardino,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA,White,123174
728,San Bernardino,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA,American Indian and Alaska Native,4520
729,Newport Beach,California,46.8,43161.0,43970.0,87131,4847.0,15318.0,2.4,CA,Hispanic or Latino,8127
730,Fall River,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,Asian,1891
731,Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Hispanic or Latino,2738
